density,layer,left_model_axis,matrix_index,metric_axis_order,offset_A,pair_id,panel_seed,positive_pair_id,right_model_axis,variant
fine,alphafold,sample_index_0_to_4,39,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,lpbe_eps4_grid0.50
fine,alphafold,sample_index_0_to_4,40,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.5,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,lpbe_eps4_grid0.50
fine,alphafold,sample_index_0_to_4,41,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,1.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,lpbe_eps4_grid0.50
coarse,alphafold,sample_index_0_to_4,42,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,npbe_eps2_grid0.50
coarse,alphafold,sample_index_0_to_4,43,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.5,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,npbe_eps2_grid0.50
coarse,alphafold,sample_index_0_to_4,44,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,1.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,npbe_eps2_grid0.50
fine,alphafold,sample_index_0_to_4,45,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,npbe_eps2_grid0.50
fine,alphafold,sample_index_0_to_4,46,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.5,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,npbe_eps2_grid0.50
fine,alphafold,sample_index_0_to_4,47,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,1.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,npbe_eps2_grid0.50
coarse,alphafold,sample_index_0_to_4,48,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,npbe_eps4_grid0.35
