complete_variant_count,expected_variant_count,model_key,status
6,6,af|271828|V2PMHC_78fe769be3f606f3|m4,complete
6,6,af|271828|V2PMHC_7db17c44e740d443|m0,complete
6,6,af|271828|V2PMHC_7db17c44e740d443|m1,complete
6,6,af|271828|V2PMHC_7db17c44e740d443|m2,complete
6,6,af|271828|V2PMHC_7db17c44e740d443|m3,complete
6,6,af|271828|V2PMHC_7db17c44e740d443|m4,complete
6,6,af|271828|V2PMHC_805576114a6e7df7|m0,complete
6,6,af|271828|V2PMHC_805576114a6e7df7|m1,complete
6,6,af|271828|V2PMHC_805576114a6e7df7|m2,complete
6,6,af|271828|V2PMHC_805576114a6e7df7|m3,complete
6,6,af|271828|V2PMHC_805576114a6e7df7|m4,complete
6,6,af|271828|V2PMHC_8237840b8e248746|m0,complete
6,6,af|271828|V2PMHC_8237840b8e248746|m1,complete
6,6,af|271828|V2PMHC_8237840b8e248746|m2,complete
6,6,af|271828|V2PMHC_8237840b8e248746|m3,complete
6,6,af|271828|V2PMHC_8237840b8e248746|m4,complete
6,6,af|271828|V2PMHC_8fc08fae0f1ffde1|m0,complete
6,6,af|271828|V2PMHC_8fc08fae0f1ffde1|m1,complete
6,6,af|271828|V2PMHC_8fc08fae0f1ffde1|m2,complete
6,6,af|271828|V2PMHC_8fc08fae0f1ffde1|m3,complete
6,6,af|271828|V2PMHC_8fc08fae0f1ffde1|m4,complete
6,6,af|271828|V2PMHC_9752d8e24d9b0da8|m0,complete
6,6,af|271828|V2PMHC_9752d8e24d9b0da8|m1,complete
6,6,af|271828|V2PMHC_9752d8e24d9b0da8|m2,complete
6,6,af|271828|V2PMHC_9752d8e24d9b0da8|m3,complete
6,6,af|271828|V2PMHC_9752d8e24d9b0da8|m4,complete
6,6,af|271828|V2PMHC_9894a39c837e8dff|m0,complete
6,6,af|271828|V2PMHC_9894a39c837e8dff|m1,complete
6,6,af|271828|V2PMHC_9894a39c837e8dff|m2,complete
6,6,af|271828|V2PMHC_9894a39c837e8dff|m3,complete
6,6,af|271828|V2PMHC_9894a39c837e8dff|m4,complete
6,6,af|271828|V2PMHC_a9689c9b7442faad|m0,complete
6,6,af|271828|V2PMHC_a9689c9b7442faad|m1,complete
6,6,af|271828|V2PMHC_a9689c9b7442faad|m2,complete
6,6,af|271828|V2PMHC_a9689c9b7442faad|m3,complete
6,6,af|271828|V2PMHC_a9689c9b7442faad|m4,complete
6,6,af|271828|V2PMHC_aca4d95566b71e51|m0,complete
6,6,af|271828|V2PMHC_aca4d95566b71e51|m1,complete
6,6,af|271828|V2PMHC_aca4d95566b71e51|m2,complete
6,6,af|271828|V2PMHC_aca4d95566b71e51|m3,complete
6,6,af|271828|V2PMHC_aca4d95566b71e51|m4,complete
6,6,af|271828|V2PMHC_b9515727297f20be|m0,complete
6,6,af|271828|V2PMHC_b9515727297f20be|m1,complete
6,6,af|271828|V2PMHC_b9515727297f20be|m2,complete
6,6,af|271828|V2PMHC_b9515727297f20be|m3,complete
6,6,af|271828|V2PMHC_b9515727297f20be|m4,complete
6,6,af|271828|V2PMHC_ba30260fa79864f0|m0,complete
6,6,af|271828|V2PMHC_ba30260fa79864f0|m1,complete
6,6,af|271828|V2PMHC_ba30260fa79864f0|m2,complete
6,6,af|271828|V2PMHC_ba30260fa79864f0|m3,complete
6,6,af|271828|V2PMHC_ba30260fa79864f0|m4,complete
6,6,af|271828|V2PMHC_bd512a4ef37be178|m0,complete
6,6,af|271828|V2PMHC_bd512a4ef37be178|m1,complete
6,6,af|271828|V2PMHC_bd512a4ef37be178|m2,complete
6,6,af|271828|V2PMHC_bd512a4ef37be178|m3,complete
6,6,af|271828|V2PMHC_bd512a4ef37be178|m4,complete
6,6,af|271828|V2PMHC_bd85682692a22c86|m0,complete
6,6,af|271828|V2PMHC_bd85682692a22c86|m1,complete
6,6,af|271828|V2PMHC_bd85682692a22c86|m2,complete
6,6,af|271828|V2PMHC_bd85682692a22c86|m3,complete
6,6,af|271828|V2PMHC_bd85682692a22c86|m4,complete
6,6,af|271828|V2PMHC_beb0ad27d412552e|m0,complete
6,6,af|271828|V2PMHC_beb0ad27d412552e|m1,complete
6,6,af|271828|V2PMHC_beb0ad27d412552e|m2,complete
6,6,af|271828|V2PMHC_beb0ad27d412552e|m3,complete
6,6,af|271828|V2PMHC_beb0ad27d412552e|m4,complete
6,6,af|271828|V2PMHC_c7cc3907edbdd374|m0,complete
6,6,af|271828|V2PMHC_c7cc3907edbdd374|m1,complete
6,6,af|271828|V2PMHC_c7cc3907edbdd374|m2,complete
6,6,af|271828|V2PMHC_c7cc3907edbdd374|m3,complete
6,6,af|271828|V2PMHC_c7cc3907edbdd374|m4,complete
6,6,af|271828|V2PMHC_ccd4411cb2b8cf05|m0,complete
6,6,af|271828|V2PMHC_ccd4411cb2b8cf05|m1,complete
6,6,af|271828|V2PMHC_ccd4411cb2b8cf05|m2,complete
6,6,af|271828|V2PMHC_ccd4411cb2b8cf05|m3,complete
6,6,af|271828|V2PMHC_ccd4411cb2b8cf05|m4,complete
6,6,af|271828|V2PMHC_d7feb964ace8d6d1|m0,complete
6,6,af|271828|V2PMHC_d7feb964ace8d6d1|m1,complete
6,6,af|271828|V2PMHC_d7feb964ace8d6d1|m2,complete
6,6,af|271828|V2PMHC_d7feb964ace8d6d1|m3,complete
6,6,af|271828|V2PMHC_d7feb964ace8d6d1|m4,complete
6,6,af|271828|V2PMHC_eb0af1b357b463a4|m0,complete
6,6,af|271828|V2PMHC_eb0af1b357b463a4|m1,complete
6,6,af|271828|V2PMHC_eb0af1b357b463a4|m2,complete
6,6,af|271828|V2PMHC_eb0af1b357b463a4|m3,complete
6,6,af|271828|V2PMHC_eb0af1b357b463a4|m4,complete
6,6,af|271828|V2PMHC_ed2fd8b0dedfa702|m0,complete
6,6,af|271828|V2PMHC_ed2fd8b0dedfa702|m1,complete
6,6,af|271828|V2PMHC_ed2fd8b0dedfa702|m2,complete
6,6,af|271828|V2PMHC_ed2fd8b0dedfa702|m3,complete
6,6,af|271828|V2PMHC_ed2fd8b0dedfa702|m4,complete
6,6,af|271828|V2PMHC_edc57af6a9a8f080|m0,complete
6,6,af|271828|V2PMHC_edc57af6a9a8f080|m1,complete
6,6,af|271828|V2PMHC_edc57af6a9a8f080|m2,complete
6,6,af|271828|V2PMHC_edc57af6a9a8f080|m3,complete
6,6,af|271828|V2PMHC_edc57af6a9a8f080|m4,complete
6,6,af|314159|V2PMHC_059a1481886fcb83|m0,complete
6,6,af|314159|V2PMHC_059a1481886fcb83|m1,complete
6,6,af|314159|V2PMHC_059a1481886fcb83|m2,complete
6,6,af|314159|V2PMHC_059a1481886fcb83|m3,complete
6,6,af|314159|V2PMHC_059a1481886fcb83|m4,complete
6,6,af|314159|V2PMHC_09f27211b3e8bfb0|m0,complete
6,6,af|314159|V2PMHC_09f27211b3e8bfb0|m1,complete
6,6,af|314159|V2PMHC_09f27211b3e8bfb0|m2,complete
6,6,af|314159|V2PMHC_09f27211b3e8bfb0|m3,complete
6,6,af|314159|V2PMHC_09f27211b3e8bfb0|m4,complete
6,6,af|314159|V2PMHC_0c99052ea98ebd84|m0,complete
6,6,af|314159|V2PMHC_0c99052ea98ebd84|m1,complete
6,6,af|314159|V2PMHC_0c99052ea98ebd84|m2,complete
6,6,af|314159|V2PMHC_0c99052ea98ebd84|m3,complete
6,6,af|314159|V2PMHC_0c99052ea98ebd84|m4,complete
6,6,af|314159|V2PMHC_124e901945f0164d|m0,complete
6,6,af|314159|V2PMHC_124e901945f0164d|m1,complete
6,6,af|314159|V2PMHC_124e901945f0164d|m2,complete
6,6,af|314159|V2PMHC_124e901945f0164d|m3,complete
6,6,af|314159|V2PMHC_124e901945f0164d|m4,complete
6,6,af|314159|V2PMHC_22a556e2d6178849|m0,complete
6,6,af|314159|V2PMHC_22a556e2d6178849|m1,complete
6,6,af|314159|V2PMHC_22a556e2d6178849|m2,complete
6,6,af|314159|V2PMHC_22a556e2d6178849|m3,complete
6,6,af|314159|V2PMHC_22a556e2d6178849|m4,complete
6,6,af|314159|V2PMHC_2a45cfb5882821d2|m0,complete
6,6,af|314159|V2PMHC_2a45cfb5882821d2|m1,complete
6,6,af|314159|V2PMHC_2a45cfb5882821d2|m2,complete
6,6,af|314159|V2PMHC_2a45cfb5882821d2|m3,complete
6,6,af|314159|V2PMHC_2a45cfb5882821d2|m4,complete
6,6,af|314159|V2PMHC_32819024c05f813a|m0,complete
6,6,af|314159|V2PMHC_32819024c05f813a|m1,complete
6,6,af|314159|V2PMHC_32819024c05f813a|m2,complete
6,6,af|314159|V2PMHC_32819024c05f813a|m3,complete
6,6,af|314159|V2PMHC_32819024c05f813a|m4,complete
6,6,af|314159|V2PMHC_359f1f74d76d2644|m0,complete
6,6,af|314159|V2PMHC_359f1f74d76d2644|m1,complete
6,6,af|314159|V2PMHC_359f1f74d76d2644|m2,complete
6,6,af|314159|V2PMHC_359f1f74d76d2644|m3,complete
6,6,af|314159|V2PMHC_359f1f74d76d2644|m4,complete
6,6,af|314159|V2PMHC_368ebdaaab5ce03f|m0,complete
6,6,af|314159|V2PMHC_368ebdaaab5ce03f|m1,complete
6,6,af|314159|V2PMHC_368ebdaaab5ce03f|m2,complete
6,6,af|314159|V2PMHC_368ebdaaab5ce03f|m3,complete
6,6,af|314159|V2PMHC_368ebdaaab5ce03f|m4,complete
6,6,af|314159|V2PMHC_3f942ba88c8f100c|m0,complete
6,6,af|314159|V2PMHC_3f942ba88c8f100c|m1,complete
6,6,af|314159|V2PMHC_3f942ba88c8f100c|m2,complete
6,6,af|314159|V2PMHC_3f942ba88c8f100c|m3,complete
6,6,af|314159|V2PMHC_3f942ba88c8f100c|m4,complete
6,6,af|314159|V2PMHC_4ac3a4f6915c6008|m0,complete
6,6,af|314159|V2PMHC_4ac3a4f6915c6008|m1,complete
6,6,af|314159|V2PMHC_4ac3a4f6915c6008|m2,complete
6,6,af|314159|V2PMHC_4ac3a4f6915c6008|m3,complete
6,6,af|314159|V2PMHC_4ac3a4f6915c6008|m4,complete
6,6,af|314159|V2PMHC_51e2e413b5fb64d1|m0,complete
