layer,method,panel_seed,positive_pair_id,positive_rank,source
alphafold,tcr_facing_blosum62,314159,PAIR_HY1B11_PMM_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_blosum62,314159,PAIR_HY1B11_PMM_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,structural_only,314159,PAIR_HY1B11_PMM_MBP,13,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,frozen_exposed_ca,314159,PAIR_HY1B11_PMM_MBP,13,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,random_ranking,314159,PAIR_HY1B11_PMM_MBP,9,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_structural_composite,271828,PAIR_HY1B11_UL15_MBP,17,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,physicochemical_only,271828,PAIR_HY1B11_UL15_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_identity,271828,PAIR_HY1B11_UL15_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_identity,271828,PAIR_HY1B11_UL15_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_blosum62,271828,PAIR_HY1B11_UL15_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_blosum62,271828,PAIR_HY1B11_UL15_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,structural_only,271828,PAIR_HY1B11_UL15_MBP,17,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,frozen_exposed_ca,271828,PAIR_HY1B11_UL15_MBP,15,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,random_ranking,271828,PAIR_HY1B11_UL15_MBP,25,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_structural_composite,314159,PAIR_HY1B11_UL15_MBP,6,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
