composite_point_count,density,helix_point_count,layer,offset_A,pair_id,pairwise_map_coverage,panel_seed,peptide_point_count,positive_pair_id,status,variant
3442,coarse,,alphafold,0.0,s271828|EBV_IEDB_d63c3a4aff32|HUMAN_BACKGROUND_2273188,0.9547850208044383,271828,1266,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4022,coarse,,alphafold,0.0,s314159|HY1B11_PMM|HY1B11_MBP,0.9987742093650405,314159,1301,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3713,coarse,,alphafold,0.0,s314159|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,0.9956289460903351,314159,1173,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4060,coarse,,alphafold,0.0,s314159|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,0.9941234084231146,314159,1208,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4053,coarse,,alphafold,0.0,s314159|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_186917,0.9909887968826108,314159,1282,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4106,coarse,,alphafold,0.0,s314159|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_2258538,0.9970859640602234,314159,1112,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4105,coarse,,alphafold,0.0,s314159|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_2273188,0.9968431277319086,314159,1080,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3728,coarse,,alphafold,0.0,s314159|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_1618754,0.9997582205029013,314159,1209,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4084,coarse,,alphafold,0.0,s314159|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_175453,0.9958927277120078,314159,1260,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4069,coarse,,alphafold,0.0,s314159|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_186917,0.9958404697822364,314159,1349,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4129,coarse,,alphafold,0.0,s314159|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_2258538,0.999515855725006,314159,1139,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4122,coarse,,alphafold,0.0,s314159|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_2273188,0.9978213507625272,314159,1141,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3709,coarse,,alphafold,0.0,s314159|EBV_IEDB_4fb29363e8e5|HUMAN_BACKGROUND_1618754,0.9949034334763949,314159,1167,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4036,coarse,,alphafold,0.0,s314159|EBV_IEDB_4fb29363e8e5|HUMAN_BACKGROUND_175453,0.9909224730127576,314159,1173,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3989,coarse,,alphafold,0.0,s314159|EBV_IEDB_4fb29363e8e5|HUMAN_BACKGROUND_186917,0.982512315270936,314159,1303,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4059,coarse,,alphafold,0.0,s314159|EBV_IEDB_4fb29363e8e5|HUMAN_BACKGROUND_2258538,0.9973012757605496,314159,1110,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4057,coarse,,alphafold,0.0,s314159|EBV_IEDB_4fb29363e8e5|HUMAN_BACKGROUND_2273188,0.9953385672227674,314159,1093,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3690,coarse,,alphafold,0.0,s314159|EBV_IEDB_bce490b86fd9|HUMAN_BACKGROUND_1618754,0.9898068669527897,314159,1245,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4037,coarse,,alphafold,0.0,s314159|EBV_IEDB_bce490b86fd9|HUMAN_BACKGROUND_175453,0.9884916748285995,314159,1259,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4021,coarse,,alphafold,0.0,s314159|EBV_IEDB_bce490b86fd9|HUMAN_BACKGROUND_186917,0.9843329253365973,314159,1371,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4079,coarse,,alphafold,0.0,s314159|EBV_IEDB_bce490b86fd9|HUMAN_BACKGROUND_2258538,0.9970667318504033,314159,1184,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4079,coarse,,alphafold,0.0,s314159|EBV_IEDB_bce490b86fd9|HUMAN_BACKGROUND_2273188,0.9970667318504033,314159,1167,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3250,coarse,1969,alphafold,0.0,s314159|EBV_IEDB_d63c3a4aff32|HUMAN_BACKGROUND_1618754,0.8836324089178902,314159,1281,PAIR_HY1B11_PMM_MBP,not_evaluable_surface_qc,npbe_eps4_grid0.50
3601,coarse,,alphafold,0.0,s314159|EBV_IEDB_d63c3a4aff32|HUMAN_BACKGROUND_175453,0.9790647090810223,314159,1217,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3656,coarse,,alphafold,0.0,s314159|EBV_IEDB_d63c3a4aff32|HUMAN_BACKGROUND_186917,0.9840842311459354,314159,1275,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3647,coarse,,alphafold,0.0,s314159|EBV_IEDB_d63c3a4aff32|HUMAN_BACKGROUND_2258538,0.9915715062533986,314159,1212,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3648,coarse,,alphafold,0.0,s314159|EBV_IEDB_d63c3a4aff32|HUMAN_BACKGROUND_2273188,0.9918433931484503,314159,1201,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4126,coarse,,alphafold,0.0,s271828|HY1B11_UL15|HY1B11_MBP,0.9973410684070583,271828,1256,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3656,coarse,,alphafold,0.0,s271828|EBV_IEDB_0e2190f44775|HUMAN_BACKGROUND_1618754,0.9820519689257969,271828,1247,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4060,coarse,,alphafold,0.0,s271828|EBV_IEDB_0e2190f44775|HUMAN_BACKGROUND_175453,0.99267578125,271828,1183,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4018,coarse,,alphafold,0.0,s271828|EBV_IEDB_0e2190f44775|HUMAN_BACKGROUND_186917,0.9855285749325484,271828,1276,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4025,coarse,,alphafold,0.0,s271828|EBV_IEDB_0e2190f44775|HUMAN_BACKGROUND_2258538,0.9872455236693647,271828,1321,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3616,coarse,,alphafold,0.0,s271828|EBV_IEDB_0e2190f44775|HUMAN_BACKGROUND_2273188,0.9828757814623539,271828,1277,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3660,coarse,,alphafold,0.0,s271828|EBV_IEDB_5e7561364e47|HUMAN_BACKGROUND_1618754,0.9838709677419355,271828,1199,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4054,coarse,,alphafold,0.0,s271828|EBV_IEDB_5e7561364e47|HUMAN_BACKGROUND_175453,0.9929714008725158,271828,1208,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4001,coarse,,alphafold,0.0,s271828|EBV_IEDB_5e7561364e47|HUMAN_BACKGROUND_186917,0.984498031496063,271828,1319,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4002,coarse,,alphafold,0.0,s271828|EBV_IEDB_5e7561364e47|HUMAN_BACKGROUND_2258538,0.984619140625,271828,1323,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3584,coarse,,alphafold,0.0,s271828|EBV_IEDB_5e7561364e47|HUMAN_BACKGROUND_2273188,0.9741777656972003,271828,1305,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3719,coarse,,alphafold,0.0,s271828|EBV_IEDB_6fb6893091a7|HUMAN_BACKGROUND_1618754,0.9992755373098285,271828,1204,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
