score_coverage_status,register_assessment,same_register_alignment_count,pair_count
excluded_nonprimary_register_status,calibration_only_nonprimary_allele,0,52
excluded_nonprimary_register_status,no_same_register_local_alignment,0,426
excluded_nonprimary_register_status,sensitivity_only_unresolved_register,0,64
excluded_nonprimary_register_status,unresolved_or_flank_dependent_core,0,61
limited_coverage_report_only,assessable_register_hypothesis,1,11
limited_coverage_report_only,assessable_register_hypothesis,2,10
robust_primary_ranking_eligible,assessable_register_hypothesis,3,9
robust_primary_ranking_eligible,assessable_register_hypothesis,4,3
