available_equal_weight_control_median_A,available_full_decoy_count,available_primary_count,available_rank,claim_boundary,expected_full_decoy_count,expected_primary_count,formal_rank_of_26,formal_seed_evaluable,formal_seed_status,positive_exposed_ca_rmsd_median_A,required_rule,seed,seed_recovery_criterion_pass
5.042155,16,17,1,"Computational pMHC geometry only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS disease mechanism.",25,26,,False,not_evaluable_incomplete_seed,0.490404,rank <= 3 of 26 and positive RMSD below equal-weight median of 25 full decoys,104729,
6.581933,25,26,1,"Computational pMHC geometry only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS disease mechanism.",25,26,1,True,pass,0.495705,rank <= 3 of 26 and positive RMSD below equal-weight median of 25 full decoys,104759,True
